,Location,State,Time,Summary Description,Primary Activity,Primary Travel Mode,Location Setting,Caught,"Partially Buried, Non-Critical","Partially Buried, Critical",Fully Buried,Injured,Killed,Type,Trigger,Trigger (subcode),Size - Relative to Path,Size - Destructive Force,Sliding Surface,Slope Aspect,Site Elevation,Slope Angle,Slope Characteristic
0,"Ryan Peak, Idaho",Idaho,"
Unknown
",1 skier and 1 snowmobiler killed,Hybrid Rider,Snowmobile,--,0,0,0,0,0,2,--,--,--,--,--,--,--,--,--,--
1,"Silver Basin, closed portion of Crystal Mountain ski area",Washington,,6 backcountry tourers caught and 1 killed,Backcountry Tourer,Ski,,0,,,3,0,1,SS,AS - Skier,u - An unintentional release,R3,D2.5,--,NE,6600 ft,35 °,--
2,"Ruth Glacier, Denali National Park and Preserve",Alaska,"
5:00 AM
(Estimated)","2 climbers caught in serac fall, 1 killed",Climber,Foot,,2,,,0,1,1,I,N -  Natural,--,--,--,--,--,--,--,--
3,Matanuska Glacier,Alaska,"
Unknown
",1 heliskier killed,Mechanised Guiding Client,Ski,,0,,,0,0,1,--,--,--,--,--,--,--,--,--,--
4,Lime Creek south of Edwards,Colorado,"
2:00 PM
(Estimated)","2 sidecountry skiers caught, 1 buried and killed",Sidecountry Rider,Ski,Accessed BC from Ski Area,2,0,0,1,0,1,SS,AS - Skier,u - An unintentional release,R1,D2,G - At Ground/Ice/Firm,NW,9763 ft,45 °,Gully/Couloir
5,"Frog Lake Cliffs, north of Donner Pass",California,"
Unknown
",1 snowmobiler caught and killed,Snowmobiler,Foot,,1,,,0,0,1,C,AF - Foot penetration,u - An unintentional release,R3,D2,--,NE,8600 ft,--,--
6,"Tiger Peak, north of Burke",Idaho,"
Unknown
","3 snowmobilers caught, 2 partially buried, 1 buried and killed",Snowmobiler,Snowmobile,Backcountry,3,2,0,1,0,1,HS,AM - Snowmobile,u - An unintentional release,R3,D3,O - Within Old Snow,W,6200 ft,33 °,--
7,"Broken Thumb Couloir, Peak 9,975 (25 Short), Grand Teton National Park",Wyoming,,1 backcountry tourer caught and killed,Backcountry Tourer,Snowboard,Backcountry,1,0,1,0,0,1,SS,AR - Snowboarder,u - An unintentional release,R2,D2,S - Within Storm Snow,NE,8800 ft,38 °,--
8,"Near Sherman Peak, Southeast of Pocatello",Idaho,"
11:00 AM
(Estimated)","1 snowmobiler, caught, buried, and killed",Snowmobiler,Snowmobile,,0,,,1,0,1,--,--,--,--,--,--,--,--,--,--
9,"Near Castle Lake, Ruby Mountains, Southeast of Elko",Nevada,"
Unknown
","2 snowmobilers caught, 1 buried and killed, 1 injured",Snowmobiler,Snowmobile,,0,,,1,1,1,--,--,--,--,--,--,--,--,--,--
10,"Smiley Creek Drainage, Smoky Mountains",Idaho,"
11:00 AM
(Estimated)",1 snowmobiler caught and killed,Snowmobiler,Snowmobile,Backcountry,1,0,0,0,0,1,HS,AM - Snowmobile,u - An unintentional release,R3,D2.5,O - Within Old Snow,S,9100 ft,35 °,--
11,"Togwotee Pass, WY",Wyoming,"
12:00 PM
(Estimated)",1 backcountry snowboarder caught and killed,Backcountry Tourer,Snowboard,Backcountry,1,0,0,1,0,1,SS,AR - Snowboarder,u - An unintentional release,R2,D2,O - Within Old Snow,NE,9440 ft,42 °,Gully/Couloir
12,"Squaw Creek Drainage, Southeast of Alpine, WY",Wyoming,"
1:30 PM
(Estimated)","8 snowmobilers caught, 7 partially buried, 1 buried and killed",Snowmobiler,Snowmobile,Backcountry,8,1,2,1,0,1,SS,AM - Snowmobile,u - An unintentional release,R2,D2,--,NE,8300 ft,37 °,--
13,"West of Ruby Mountain, southeast of Rand",Colorado,"
3:00 PM
(Estimated)","2 snowmobilers caught, 1 partially buried, 1 buried and killed",Snowmobiler,Snowmobile,Backcountry,2,1,0,1,0,1,HS,AM - Snowmobile,u - An unintentional release,R4,D3,O - Within Old Snow,NE,11400 ft,37 °,"Planar Slope,Sparse Trees"
14,"Pumphouse Lake, southwest of Rollins Pass",Colorado,"
Unknown
","1 snowmobiler caught, partially buried-critical, and killed",Snowmobiler,Snowmobile,Backcountry,1,0,1,0,0,1,HS,AM - Snowmobile,u - An unintentional release,R3,D2,G - At Ground/Ice/Firm,E,11500 ft,35 °,--
15,"Beehive Basin, north of Big Sky Montana",Montana,"
11:30 AM
","2 splitboarders caught, 1 partially buried and killed",Backcountry Tourer,Snowboard,Backcountry,2,1,0,0,0,1,HS,AR - Snowboarder,u - An unintentional release,R4,D2.5,O - Within Old Snow,SW,9200 ft,--,Sparse Trees
16,"Near Mount Trelease, north of Loveland Pass",Colorado,"
8:45 AM
(Estimated)","1 backcountry snowboarder caught, partially-buried critical, killed",Backcountry Tourer,Snowboard,Backcountry,1,0,1,0,0,1,HS,AR - Snowboarder,u - An unintentional release,R4,D3,G - At Ground/Ice/Firm,E,12267 ft,35 °,Planar Slope
